"plot_number","prow","pcol","grow","gcol","subplot"
356,6,"2",1,1,3
356,6,"2",1,2,2
356,6,"2",1,3,1
328,6,"3",1,1,3
328,6,"3",1,2,2
328,6,"3",1,3,1
317,6,"4",1,1,3
317,6,"4",1,2,2
317,6,"4",1,3,1
300,6,"5",1,1,3
300,6,"5",1,2,2
300,6,"5",1,3,1
289,6,"6",1,1,3
289,6,"6",1,2,2
289,6,"6",1,3,1
272,6,"7",1,1,3
272,6,"7",1,2,2
272,6,"7",1,3,1
261,6,"8",1,1,3
261,6,"8",1,2,2
261,6,"8",1,3,1
244,6,"9",1,1,3
244,6,"9",1,2,2
244,6,"9",1,3,1
233,6,"10",1,1,3
233,6,"10",1,2,2
233,6,"10",1,3,1
216,6,"11",1,1,3
216,6,"11",1,2,2
216,6,"11",1,3,1
205,6,"12",1,1,3
205,6,"12",1,2,2
205,6,"12",1,3,1
188,6,"13",1,1,3
188,6,"13",1,2,2
188,6,"13",1,3,1
177,6,"14",1,1,3
177,6,"14",1,2,2
177,6,"14",1,3,1
362,7,"1",1,1,3
362,7,"1",1,2,2
362,7,"1",1,3,1
355,7,"2",1,1,3
355,7,"2",1,2,2
355,7,"2",1,3,1
329,7,"3",1,1,3
329,7,"3",1,2,2
329,7,"3",1,3,1
316,7,"4",1,1,3
316,7,"4",1,2,2
316,7,"4",1,3,1
301,7,"5",1,1,3
301,7,"5",1,2,2
301,7,"5",1,3,1
288,7,"6",1,1,3
288,7,"6",1,2,2
288,7,"6",1,3,1
273,7,"7",1,1,3
273,7,"7",1,2,2
273,7,"7",1,3,1
260,7,"8",1,1,3
260,7,"8",1,2,2
260,7,"8",1,3,1
245,7,"9",1,1,3
245,7,"9",1,2,2
245,7,"9",1,3,1
232,7,"10",1,1,3
232,7,"10",1,2,2
232,7,"10",1,3,1
217,7,"11",1,1,3
217,7,"11",1,2,2
217,7,"11",1,3,1
204,7,"12",1,1,3
204,7,"12",1,2,2
204,7,"12",1,3,1
189,7,"13",1,1,3
189,7,"13",1,2,2
189,7,"13",1,3,1
176,7,"14",1,1,3
176,7,"14",1,2,2
176,7,"14",1,3,1
363,8,"1",1,1,3
363,8,"1",1,2,2
363,8,"1",1,3,1
354,8,"2",1,1,3
354,8,"2",1,2,2
354,8,"2",1,3,1
330,8,"3",1,1,3
330,8,"3",1,2,2
330,8,"3",1,3,1
315,8,"4",1,1,3
315,8,"4",1,2,2
315,8,"4",1,3,1
302,8,"5",1,1,3
302,8,"5",1,2,2
302,8,"5",1,3,1
287,8,"6",1,1,3
287,8,"6",1,2,2
287,8,"6",1,3,1
274,8,"7",1,1,3
274,8,"7",1,2,2
274,8,"7",1,3,1
259,8,"8",1,1,3
259,8,"8",1,2,2
259,8,"8",1,3,1
246,8,"9",1,1,3
246,8,"9",1,2,2
246,8,"9",1,3,1
231,8,"10",1,1,3
231,8,"10",1,2,2
231,8,"10",1,3,1
218,8,"11",1,1,3
218,8,"11",1,2,2
218,8,"11",1,3,1
203,8,"12",1,1,3
203,8,"12",1,2,2
203,8,"12",1,3,1
190,8,"13",1,1,3
190,8,"13",1,2,2
190,8,"13",1,3,1
175,8,"14",1,1,3
175,8,"14",1,2,2
175,8,"14",1,3,1
364,9,"1",1,1,3
364,9,"1",1,2,2
364,9,"1",1,3,1
353,9,"2",1,1,3
353,9,"2",1,2,2
353,9,"2",1,3,1
331,9,"3",1,1,3
331,9,"3",1,2,2
331,9,"3",1,3,1
314,9,"4",1,1,3
314,9,"4",1,2,2
314,9,"4",1,3,1
303,9,"5",1,1,3
303,9,"5",1,2,2
303,9,"5",1,3,1
286,9,"6",1,1,3
286,9,"6",1,2,2
286,9,"6",1,3,1
275,9,"7",1,1,3
275,9,"7",1,2,2
275,9,"7",1,3,1
258,9,"8",1,1,3
258,9,"8",1,2,2
258,9,"8",1,3,1
247,9,"9",1,1,3
247,9,"9",1,2,2
247,9,"9",1,3,1
230,9,"10",1,1,3
230,9,"10",1,2,2
230,9,"10",1,3,1
219,9,"11",1,1,3
219,9,"11",1,2,2
219,9,"11",1,3,1
202,9,"12",1,1,3
202,9,"12",1,2,2
202,9,"12",1,3,1
191,9,"13",1,1,3
191,9,"13",1,2,2
191,9,"13",1,3,1
174,9,"14",1,1,3
174,9,"14",1,2,2
174,9,"14",1,3,1
365,10,"1",1,1,3
365,10,"1",1,2,2
365,10,"1",1,3,1
352,10,"2",1,1,3
352,10,"2",1,2,2
352,10,"2",1,3,1
332,10,"3",1,1,3
332,10,"3",1,2,2
332,10,"3",1,3,1
313,10,"4",1,1,3
313,10,"4",1,2,2
313,10,"4",1,3,1
304,10,"5",1,1,3
304,10,"5",1,2,2
304,10,"5",1,3,1
285,10,"6",1,1,3
285,10,"6",1,2,2
285,10,"6",1,3,1
276,10,"7",1,1,3
276,10,"7",1,2,2
276,10,"7",1,3,1
257,10,"8",1,1,3
257,10,"8",1,2,2
257,10,"8",1,3,1
248,10,"9",1,1,3
248,10,"9",1,2,2
248,10,"9",1,3,1
229,10,"10",1,1,3
229,10,"10",1,2,2
229,10,"10",1,3,1
220,10,"11",1,1,3
220,10,"11",1,2,2
220,10,"11",1,3,1
201,10,"12",1,1,3
201,10,"12",1,2,2
201,10,"12",1,3,1
192,10,"13",1,1,3
192,10,"13",1,2,2
192,10,"13",1,3,1
173,10,"14",1,1,3
173,10,"14",1,2,2
173,10,"14",1,3,1
366,11,"1",1,1,3
366,11,"1",1,2,2
366,11,"1",1,3,1
351,11,"2",1,1,3
351,11,"2",1,2,2
351,11,"2",1,3,1
333,11,"3",1,1,3
333,11,"3",1,2,2
333,11,"3",1,3,1
312,11,"4",1,1,3
312,11,"4",1,2,2
312,11,"4",1,3,1
305,11,"5",1,1,3
305,11,"5",1,2,2
305,11,"5",1,3,1
284,11,"6",1,1,3
284,11,"6",1,2,2
284,11,"6",1,3,1
277,11,"7",1,1,3
277,11,"7",1,2,2
277,11,"7",1,3,1
256,11,"8",1,1,3
256,11,"8",1,2,2
256,11,"8",1,3,1
249,11,"9",1,1,3
249,11,"9",1,2,2
249,11,"9",1,3,1
228,11,"10",1,1,3
228,11,"10",1,2,2
228,11,"10",1,3,1
221,11,"11",1,1,3
221,11,"11",1,2,2
221,11,"11",1,3,1
200,11,"12",1,1,3
200,11,"12",1,2,2
200,11,"12",1,3,1
193,11,"13",1,1,3
193,11,"13",1,2,2
193,11,"13",1,3,1
172,11,"14",1,1,3
172,11,"14",1,2,2
172,11,"14",1,3,1
367,12,"1",1,1,3
367,12,"1",1,2,2
367,12,"1",1,3,1
350,12,"2",1,1,3
350,12,"2",1,2,2
350,12,"2",1,3,1
334,12,"3",1,1,3
334,12,"3",1,2,2
334,12,"3",1,3,1
311,12,"4",1,1,3
311,12,"4",1,2,2
311,12,"4",1,3,1
306,12,"5",1,1,3
306,12,"5",1,2,2
306,12,"5",1,3,1
283,12,"6",1,1,3
283,12,"6",1,2,2
283,12,"6",1,3,1
278,12,"7",1,1,3
278,12,"7",1,2,2
278,12,"7",1,3,1
255,12,"8",1,1,3
255,12,"8",1,2,2
255,12,"8",1,3,1
250,12,"9",1,1,3
250,12,"9",1,2,2
250,12,"9",1,3,1
227,12,"10",1,1,3
227,12,"10",1,2,2
227,12,"10",1,3,1
222,12,"11",1,1,3
222,12,"11",1,2,2
222,12,"11",1,3,1
199,12,"12",1,1,3
199,12,"12",1,2,2
199,12,"12",1,3,1
194,12,"13",1,1,3
194,12,"13",1,2,2
194,12,"13",1,3,1
171,12,"14",1,1,3
171,12,"14",1,2,2
171,12,"14",1,3,1
368,13,"1",1,1,3
368,13,"1",1,2,2
368,13,"1",1,3,1
349,13,"2",1,1,3
349,13,"2",1,2,2
349,13,"2",1,3,1
335,13,"3",1,1,3
335,13,"3",1,2,2
335,13,"3",1,3,1
310,13,"4",1,1,3
310,13,"4",1,2,2
310,13,"4",1,3,1
307,13,"5",1,1,3
307,13,"5",1,2,2
307,13,"5",1,3,1
282,13,"6",1,1,3
282,13,"6",1,2,2
282,13,"6",1,3,1
279,13,"7",1,1,3
279,13,"7",1,2,2
279,13,"7",1,3,1
254,13,"8",1,1,3
254,13,"8",1,2,2
254,13,"8",1,3,1
251,13,"9",1,1,3
251,13,"9",1,2,2
251,13,"9",1,3,1
226,13,"10",1,1,3
226,13,"10",1,2,2
226,13,"10",1,3,1
223,13,"11",1,1,3
223,13,"11",1,2,2
223,13,"11",1,3,1
198,13,"12",1,1,3
198,13,"12",1,2,2
198,13,"12",1,3,1
195,13,"13",1,1,3
195,13,"13",1,2,2
195,13,"13",1,3,1
170,13,"14",1,1,3
170,13,"14",1,2,2
170,13,"14",1,3,1
369,14,"1",1,1,3
369,14,"1",1,2,2
369,14,"1",1,3,1
348,14,"2",1,1,3
348,14,"2",1,2,2
348,14,"2",1,3,1
336,14,"3",1,1,3
336,14,"3",1,2,2
336,14,"3",1,3,1
309,14,"4",1,1,3
309,14,"4",1,2,2
309,14,"4",1,3,1
308,14,"5",1,1,3
308,14,"5",1,2,2
308,14,"5",1,3,1
281,14,"6",1,1,3
281,14,"6",1,2,2
281,14,"6",1,3,1
280,14,"7",1,1,3
280,14,"7",1,2,2
280,14,"7",1,3,1
253,14,"8",1,1,3
253,14,"8",1,2,2
253,14,"8",1,3,1
252,14,"9",1,1,3
252,14,"9",1,2,2
252,14,"9",1,3,1
225,14,"10",1,1,3
225,14,"10",1,2,2
225,14,"10",1,3,1
224,14,"11",1,1,3
224,14,"11",1,2,2
224,14,"11",1,3,1
197,14,"12",1,1,3
197,14,"12",1,2,2
197,14,"12",1,3,1
196,14,"13",1,1,3
196,14,"13",1,2,2
196,14,"13",1,3,1
169,14,"14",1,1,3
169,14,"14",1,2,2
169,14,"14",1,3,1
370,15,"1",1,1,3
370,15,"1",1,2,2
370,15,"1",1,3,1
347,15,"2",1,1,3
347,15,"2",1,2,2
347,15,"2",1,3,1
155,15,"3",1,1,3
155,15,"3",1,2,2
155,15,"3",1,3,1
154,15,"4",1,1,3
154,15,"4",1,2,2
154,15,"4",1,3,1
127,15,"5",1,1,3
127,15,"5",1,2,2
127,15,"5",1,3,1
126,15,"6",1,1,3
126,15,"6",1,2,2
126,15,"6",1,3,1
99,15,"7",1,1,3
99,15,"7",1,2,2
99,15,"7",1,3,1
98,15,"8",1,1,3
98,15,"8",1,2,2
98,15,"8",1,3,1
71,15,"9",1,1,3
71,15,"9",1,2,2
71,15,"9",1,3,1
70,15,"10",1,1,3
70,15,"10",1,2,2
70,15,"10",1,3,1
43,15,"11",1,1,3
43,15,"11",1,2,2
43,15,"11",1,3,1
42,15,"12",1,1,3
42,15,"12",1,2,2
42,15,"12",1,3,1
15,15,"13",1,1,3
15,15,"13",1,2,2
15,15,"13",1,3,1
14,15,"14",1,1,3
14,15,"14",1,2,2
14,15,"14",1,3,1
371,16,"1",1,1,3
371,16,"1",1,2,2
371,16,"1",1,3,1
346,16,"2",1,1,3
346,16,"2",1,2,2
346,16,"2",1,3,1
156,16,"3",1,1,3
156,16,"3",1,2,2
156,16,"3",1,3,1
153,16,"4",1,1,3
153,16,"4",1,2,2
153,16,"4",1,3,1
128,16,"5",1,1,3
128,16,"5",1,2,2
128,16,"5",1,3,1
125,16,"6",1,1,3
125,16,"6",1,2,2
125,16,"6",1,3,1
100,16,"7",1,1,3
100,16,"7",1,2,2
100,16,"7",1,3,1
97,16,"8",1,1,3
97,16,"8",1,2,2
97,16,"8",1,3,1
72,16,"9",1,1,3
72,16,"9",1,2,2
72,16,"9",1,3,1
69,16,"10",1,1,3
69,16,"10",1,2,2
69,16,"10",1,3,1
44,16,"11",1,1,3
44,16,"11",1,2,2
44,16,"11",1,3,1
41,16,"12",1,1,3
41,16,"12",1,2,2
41,16,"12",1,3,1
16,16,"13",1,1,3
16,16,"13",1,2,2
16,16,"13",1,3,1
13,16,"14",1,1,3
13,16,"14",1,2,2
13,16,"14",1,3,1
372,17,"1",1,1,3
372,17,"1",1,2,2
372,17,"1",1,3,1
345,17,"2",1,1,3
345,17,"2",1,2,2
345,17,"2",1,3,1
157,17,"3",1,1,3
157,17,"3",1,2,2
157,17,"3",1,3,1
152,17,"4",1,1,3
152,17,"4",1,2,2
152,17,"4",1,3,1
129,17,"5",1,1,3
129,17,"5",1,2,2
129,17,"5",1,3,1
124,17,"6",1,1,3
124,17,"6",1,2,2
124,17,"6",1,3,1
101,17,"7",1,1,3
101,17,"7",1,2,2
101,17,"7",1,3,1
96,17,"8",1,1,3
96,17,"8",1,2,2
96,17,"8",1,3,1
73,17,"9",1,1,3
73,17,"9",1,2,2
73,17,"9",1,3,1
68,17,"10",1,1,3
68,17,"10",1,2,2
68,17,"10",1,3,1
45,17,"11",1,1,3
45,17,"11",1,2,2
45,17,"11",1,3,1
40,17,"12",1,1,3
40,17,"12",1,2,2
40,17,"12",1,3,1
17,17,"13",1,1,3
17,17,"13",1,2,2
17,17,"13",1,3,1
12,17,"14",1,1,3
12,17,"14",1,2,2
12,17,"14",1,3,1
373,18,"1",1,1,3
373,18,"1",1,2,2
373,18,"1",1,3,1
344,18,"2",1,1,3
344,18,"2",1,2,2
344,18,"2",1,3,1
158,18,"3",1,1,3
158,18,"3",1,2,2
158,18,"3",1,3,1
151,18,"4",1,1,3
151,18,"4",1,2,2
151,18,"4",1,3,1
130,18,"5",1,1,3
130,18,"5",1,2,2
130,18,"5",1,3,1
123,18,"6",1,1,3
123,18,"6",1,2,2
123,18,"6",1,3,1
102,18,"7",1,1,3
102,18,"7",1,2,2
102,18,"7",1,3,1
95,18,"8",1,1,3
95,18,"8",1,2,2
95,18,"8",1,3,1
74,18,"9",1,1,3
74,18,"9",1,2,2
74,18,"9",1,3,1
67,18,"10",1,1,3
67,18,"10",1,2,2
67,18,"10",1,3,1
46,18,"11",1,1,3
46,18,"11",1,2,2
46,18,"11",1,3,1
39,18,"12",1,1,3
39,18,"12",1,2,2
39,18,"12",1,3,1
18,18,"13",1,1,3
18,18,"13",1,2,2
18,18,"13",1,3,1
11,18,"14",1,1,3
11,18,"14",1,2,2
11,18,"14",1,3,1
374,19,"1",1,1,3
374,19,"1",1,2,2
374,19,"1",1,3,1
343,19,"2",1,1,3
343,19,"2",1,2,2
343,19,"2",1,3,1
159,19,"3",1,1,3
159,19,"3",1,2,2
159,19,"3",1,3,1
150,19,"4",1,1,3
150,19,"4",1,2,2
150,19,"4",1,3,1
131,19,"5",1,1,3
131,19,"5",1,2,2
131,19,"5",1,3,1
122,19,"6",1,1,3
122,19,"6",1,2,2
122,19,"6",1,3,1
103,19,"7",1,1,3
103,19,"7",1,2,2
103,19,"7",1,3,1
94,19,"8",1,1,3
94,19,"8",1,2,2
94,19,"8",1,3,1
75,19,"9",1,1,3
75,19,"9",1,2,2
75,19,"9",1,3,1
66,19,"10",1,1,3
66,19,"10",1,2,2
66,19,"10",1,3,1
