"plot","block","Entry","Name","Pedigree"
77,1,323,"LA17075SBSS-29-1","LA10001SSBS-20 / LA10041SSBS-80"
78,1,124,"LA09092SBS-U2","UFRGS087157-3/LA08011,F1(BW1803 / MN04241)"
79,1,147,"NC14-1482","NC02-456 / SS76-40"
80,1,294,"FLLA16102-75","LA10008SSBS-21 / NC09-4274N"
81,1,317,"LA14009SBSB-21-1-1","FL0529-N1 / LA13006, F1(FL04176-S06-21-B-S1 / ND081465)"
82,1,12,"FL03001BSB-S7","LA9339E45/Bw3996"
83,1,354,"TX19CAS0047","LA08085BS-T4//LA06071SBSB-S10/TAMO606"
84,1,156,"NC14-1573","BYDV121 / NC03-8331"
85,1,206,"TX09CS1056","03ABF1#105(TX96M1384/Horizon 314)//TAMO 405"
86,1,270,"FLLA17078-54","LA10041SSBS-80 / LA16153,F1 (NC12-3578 / TX14OCS5208)"
87,1,377,"FLLA17051-20","LA09015SBS-U1 / LA16067,F1 (LA07059SBSBSB-44 / NC12-3578)"
88,1,34,"FLORIDA 501","Florad/5/Fulgrain Strain 3/Suregrain/4/Victorgrain*2//Bond/ Fulghum/3/Suregrain"
89,1,187,"Simpson","Ballard (Pentagon (Stanton, 1955/Pentagon (Stanton, 1955)/S172 4Cn3/1/3/58/602Cn)"
90,1,182,"NC14-1989","SS76-40 / NC05-5455"
91,1,269,"FLLA17077-4","LA10001SSBS-20 / NC12-3447"
92,1,299,"TX20CAS1013","TX07CS1948/TX15OCS6039"
93,1,5,"Cantara","FL03053-S06-15-B-S1 (LA989IBI-51-B-I1-I2/UFRGS01B6189-6-3)"
94,1,86,"LA07065SBSBSB-32","TAMO 405/UFRGS 028152-1"
95,1,11,"FL0115-J2","FL97AB15-A5-B6/TX97C1130"
96,1,128,"LA9339 (PLOT SPIKE, RAM OAT)","Coker85-13/X470"
97,1,247,"FL13108-62","LA07065SBSBSB-20 (TAMO 405/UFRGS 028152-1)/BW 533"
98,1,22,"FL0943-U2","FL0554-Ab5 (UFRGS 01B7114-1-3 (PC68/*Starter F4//UFRGS 10)/FL0127-H1 (FL0051 F1 (FL92SA292-A1/FL92OHR37,896-Y3-A1)/IL 95-8217 (Blaze/Brawn)))/F1 FL0841 (05RAT-00P08(AC Ronald/OT299)/LA02010SBSBSBSB-S2(9513BTB-80-I2/TX00D176))"
99,1,160,"NC14-1609","NC03-2567 / SS76-40"
100,1,106,"LA08086BS-T2","UFRGS 046050-4/FL0016-H4"
