observationunit_name,Canopy NDVI - UAS - index|day 290|COMP:0000100,Canopy NDVI - UAS - index|day 320|COMP:0000101,Canopy NDVI - UAS - index|day 92|COMP:0000102,Canopy NDVI - UAS - index|day 111|COMP:0000096,Canopy NDVI - UAS - index|day 133|COMP:0000097,Canopy NDVI - UAS - index|day 166|COMP:0000098,Canopy NDVI - UAS - index|day 190|COMP:0000099,Canopy NDVI - UAS - standard deviation|day 290|COMP:0000107,Canopy NDVI - UAS - standard deviation|day 320|COMP:0000108,Canopy NDVI - UAS - standard deviation|day 92|COMP:0000109,Canopy NDVI - UAS - standard deviation|day 111|COMP:0000103,Canopy NDVI - UAS - standard deviation|day 133|COMP:0000104,Canopy NDVI - UAS - standard deviation|day 166|COMP:0000105,Canopy NDVI - UAS - standard deviation|day 190|COMP:0000106
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_184_subplot_2,0.088334254,0.267167645,0.271897916,0.396520469,0.454297801,0.468281693,0.004778062,0.034536014,0.141655521,0.180604206,0.152869228,0.091708328,0.06960926,0.08903118
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_181_subplot_2,-0.105069928,0.206516313,0.2192733,0.338765169,0.467899951,0.52600126,0.044482482,0.039726035,0.159043977,0.174664521,0.163281534,0.113620603,0.067534727,0.090909111
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_325_subplot_2,0.064057983,0.169082198,0.148291657,0.29511606,0.25235236,0.27043921,-0.025401615,0.030753796,0.089887415,0.165361167,0.150026623,0.141806313,0.062811556,0.050485227
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_320_subplot_2,0.060254945,0.077603671,-0.067360134,-0.023422239,-0.016548732,0.540044281,0.07703129,0.027752979,0.07043247,0.094126411,0.13420891,0.169279215,0.052716245,0.116366008
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_297_subplot_2,0.06453984,0.218171829,0.229741473,0.327316923,0.318024562,0.405461589,0.061067075,0.029027549,0.114779505,0.162931056,0.149344529,0.128721238,0.064132192,0.078585491
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_292_subplot_2,0.070846186,0.198328594,0.160321961,0.25492854,0.197227454,0.279249052,0.144000336,0.030347436,0.122406151,0.161311194,0.15371363,0.144526324,0.050362391,0.102521443
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_269_subplot_2,0.063296523,0.148836466,0.121161553,0.283835832,0.279836733,0.292530567,0.100700338,0.028107567,0.113152931,0.184737043,0.18016682,0.143898051,0.056340632,0.082162454
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_264_subplot_2,0.060745476,0.130761133,0.141474183,0.327775279,0.3558358,0.30037031,0.075419722,0.029089575,0.122297675,0.196370308,0.176248511,0.141826492,0.045714871,0.063342102
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_241_subplot_2,0.058181254,0.11314749,0.13427246,0.314350514,0.334793745,0.341973543,0.048802031,0.026112945,0.112304292,0.21158109,0.194782748,0.15782033,0.046858693,0.048236592
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_236_subplot_2,0.050740344,0.090769059,0.07834531,0.252822124,0.29905122,0.440011398,0.038195704,0.025843962,0.111658385,0.191641789,0.181280205,0.163115653,0.055707909,0.067333285
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_213_subplot_2,0.057204441,0.237785754,0.289357307,0.414429663,0.413081086,0.226433694,0.063214341,0.029554825,0.140791879,0.165981136,0.138006658,0.094411989,0.062338518,0.069039028
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_208_subplot_2,0.044580542,0.172172922,0.208357112,0.407209558,0.46886727,0.417902097,0.032849867,0.024545688,0.132739951,0.196227254,0.166878859,0.094099973,0.069125043,0.067244012
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_185_subplot_2,0.056100556,0.196240476,0.254006151,0.444871649,0.521017166,0.522602668,-0.018992972,0.026531201,0.137762813,0.204820557,0.158509067,0.087214096,0.076354534,0.063889143
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_180_subplot_2,-0.104832729,0.140803243,0.314278801,0.431405062,0.386057769,0.24302677,0.030637452,0.037640647,0.12740713,0.167089504,0.142264522,0.09855511,0.051204738,0.075775306
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359_subplot_2,0.075477418,0.220603895,0.2205757,0.393508375,0.407127412,0.192042228,0.042821071,0.036237045,0.108707824,0.189533082,0.155534344,0.110645079,0.029385921,0.047747735
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_358_subplot_2,0.060578418,0.390778709,0.350417373,0.484869717,0.44883076,0.167300878,0.04660375,0.03094512,0.13685501,0.155610267,0.12828858,0.080086974,0.075849287,0.057766487
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_326_subplot_2,0.059629907,0.239826377,0.208357484,0.347548829,0.340028918,0.34434954,0.012560013,0.030454648,0.111306297,0.176020087,0.163494915,0.149655438,0.075296554,0.069450444
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_319_subplot_2,0.055999539,0.070953313,-0.116543616,-0.109894077,-0.125484466,0.433894689,0.20910393,0.02875115,0.062430292,0.03930283,0.063463118,0.118883637,0.108329371,0.171472562
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_298_subplot_2,0.05696635,0.144871589,0.138141778,0.227692919,0.252921033,0.296392067,0.060347584,0.02862879,0.090661769,0.163243636,0.159032412,0.132629875,0.040337144,0.085371603
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_291_subplot_2,0.077177553,0.255910565,0.226338644,0.318247605,0.287349609,0.26139092,0.039913269,0.030181583,0.136542284,0.149816573,0.13671586,0.107117079,0.042438091,0.055971789
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_270_subplot_2,0.055237275,0.150359453,0.103132694,0.268655385,0.296928315,0.296591068,0.150585787,0.027834642,0.116693399,0.187394319,0.178017071,0.126481935,0.058013261,0.097801192
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_263_subplot_2,0.050085462,0.170163797,0.149767276,0.315648767,0.434051287,0.435055737,0.056399385,0.026542144,0.131967832,0.188564705,0.173315346,0.102075081,0.061534029,0.074285693
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242_subplot_2,0.052719664,0.16719187,0.158198252,0.335456058,0.400595272,0.452571611,0.090914029,0.027983199,0.144683648,0.218962779,0.192474348,0.137013499,0.066772224,0.065393684
