,Oat,OatGrain_Inter,FreezeDamage_Inter,GrowthStage_Inter,Lodging_Inter,Height_Inter,PeaGrain_Inter,OatGrain_Mono,FreezeDamage_Mono,GrowthStage_Mono,Lodging_Mono,Height_Mono,selIndex
31,NF18,17.57,0.41,-0.03,-0.34,-1.55,-10.48,11.08,0.12,-0.02,-0.19,-0.88,0.269
43,NF00407,5.07,0.15,-0.04,0.06,5.51,0.92,0.68,0.19,-0.04,-0.25,7.99,-0.381
49,NC20-4402,-8.68,0.11,0.09,-0.49,2.9,-1.21,15.28,-0.14,0.05,-1.18,8.63,-0.532
62,NF05424_2,-16.19,-0.3,-0.01,0.43,15.29,11.55,-13.42,-0.05,0,-0.82,11.42,-2.08
46,FLLA11019-8,6.83,0.09,-0.05,-0.1,-2.59,-5.64,2.9,0.11,-0.01,-0.54,0.05,-2.238
60,NF13-4157-4_2,-25.25,0.15,-0.05,0.26,-7.3,10.72,12.12,-0.33,-0.02,-0.32,-6.49,-2.966
51,NF12AS-100-4_2,7.67,0.15,-0.04,-0.37,-2.5,-10.99,3.2,-0.08,0.04,-0.25,-0.75,-4.823
54,GERARD224,17.76,-0.08,0.08,-0.64,-11.94,-21.01,-6.42,-0.12,0.03,-0.82,-9.23,-5.392
61,NF12AS-107-4_2-1,10.13,-0.47,-0.05,-0.79,0.03,-23.81,-0.47,-0.14,-0.04,-0.33,0.03,-5.702
59,NC21-6502,2.27,-0.3,0.11,-0.59,-6.63,-15.66,8.79,0.08,-0.01,-0.41,-4.76,-6.732
50,Juggernaut,11.58,0.08,0.2,-0.07,6.25,-16.49,10.19,0.15,0.06,0.55,5.91,-7.398
38,TX18OCS9104,32.09,0.43,-0.03,-0.48,-1.81,-28.25,16.59,0.37,-0.02,-0.11,-2.24,-9.08
64,LA17153SBSS-55-1,0.28,-0.15,-0.06,-0.11,-1.68,-14.39,3.92,-0.16,-0.03,0.43,-1.68,-9.113
53,HORIZON201,21.03,0.12,0.07,-0.77,3.9,-26.12,7.43,0.1,-0.03,-0.46,4.1,-9.919
78,PA7617-3658,-13.68,-0.4,-0.04,-0.68,16.09,-5.46,-11.59,-0.35,-0.04,-0.32,13.27,-10.347
68,NF13-4214-4_1,-11.32,-0.09,-0.04,-0.07,-5.98,2.24,-11.4,-0.08,-0.03,0.23,-5.34,-11.117
63,NC20-4795,5.99,0.04,0.12,-0.38,4.09,-11.04,-4.87,0.07,0.08,0.23,5.65,-11.228
70,TX18OCS9100,-6.39,-0.17,-0.04,-0.42,-6.64,-12.39,0.17,-0.3,0.05,-0.2,-3.89,-11.233
57,LA17129SBSS-8-1,-1.12,0.39,-0.04,-0.21,-6.44,-5.38,11.28,0.15,-0.01,-1.18,-5.49,-12.036
77,NF13-4083-4_6,-10.49,-0.16,-0.03,0.86,-0.23,5.39,-22.88,-0.08,-0.02,2.25,0.92,-12.747
73,NF13-4124-4_3,-25.84,0.12,-0.03,0.64,-0.99,21.11,-10.67,0.19,-0.02,0.92,0.77,-13.243
67,TX19CAS0058,3.01,-0.15,-0.04,-0.52,9.47,-22.72,10.26,-0.07,0.05,-0.18,8.8,-14.094
66,NC21-6576,-7.46,0.15,-0.02,-0.05,-7.09,-1.68,1.52,0.14,0.07,-0.14,-5.95,-14.296
69,NF13-4173-4_4,-16.72,0.04,-0.02,0.46,1.88,-1.13,15.85,0.07,-0.01,3.4,4.58,-14.571
65,LA15015SB-S50,-0.02,0.24,0.08,-0.37,-4.47,3.95,-22.41,0.21,0.04,-0.22,-7.72,-14.765
71,NF13-4124-4_8,-0.78,0.07,-0.02,0.32,-0.18,0.08,-19.67,0.11,-0.01,1.47,0.47,-15.234
