observationUnitName,germplasmName,Grain weight - g|CO_350:0005123,Pea grain weight - g|COMP:0000009,harvest_order,plot_number,inter_crop,prior_harvest,prior_crop,prior_rank
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,NF99414-1,903,14,259,174,oat,259,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_175,NC18-5877N,687,10,286,175,oat,286,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,NC20-4702,994,NA,257,192,oat,257,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,HORIZON201,921,213,228,199,oat-pea,228,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,OZARK|POGI,846,8,289,204,oat,289,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_207,LA08039SBSBS-56-A1,823,NA,340,207,oat,340,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,PA7617-3460,919,14,363,212,oat,363,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_213,TX19CAS0057,865,13,346,213,oat,346,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_216,NF00407,931,3,311,216,oat,311,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_218,GERARD224,940,16,283,218,oat,283,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_223,LA17089SBS-45-1-1,1022,12,206,223,oat,206,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_228,NF12AS-100-4_2,798,176,235,228,oat-pea,235,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_235,Clav 6982,585,176,338,235,oat-pea,338,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_238,LA99016,997,5,371,238,oat,371,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_240,Clav 4476,733,6,361,240,oat,361,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,NF12AS-73-4_3,812,320,337,242,oat-pea,337,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_244,LA17069SBSS-2-1,1007,17,309,244,oat,309,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_249,Gerard 227,1076,258,236,249,oat-pea,236,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_251,NF12AS-108-4_4,831,3,208,251,oat,208,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_258,NF12AS-107-4_2-1,890,58,265,258,oat-pea,265,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_260,NF401_1,748,114,293,260,oat-pea,293,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,NC19-3542,1027,72,308,261,oat-pea,308,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_267,TX18OCS9100,744,13,374,267,oat,374,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_270,NF01401B,799,136,335,270,oat-pea,335,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_272,NF13-4173-4_6,728,272,307,272,oat-pea,307,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_275,NF18,918,3,266,275,oat,266,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_280,TX19CAS0058,838,8,195,280,oat,195,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_282,Horizon 578,872,NA,211,282,oat,211,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_294,LA17075SBSS-29-1,798,763,375,294,oat-pea,375,oat,2
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_296,NF97405-1,776,38,357,296,oat,357,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_299,LA17153SBSS-55-1,693,NA,324,299,oat,324,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,NC17-6440,736,701,221,306,oat-pea,221,pea,4
